noise,lat,lon
80,31.19744557,121.41796640
82,31.19930404,121.41924170
81,31.20027367,121.42131990
80,31.20104128,121.42299670
80,31.20166749,121.42441370
80,31.20245529,121.42686970
80,31.20344508,121.42892440
80,31.20417227,121.43081370
81,31.20570743,121.42951480
80,31.20679818,121.42913690
79,31.20835350,121.42875900
79,31.21011077,121.42833400
79,31.21164583,121.42875900
85,31.20928263,121.40918120
85,31.21015116,121.41220410
85,31.21065612,121.41510890
85,31.21126206,121.41739960
87,31.21184781,121.41995020
85,31.21206998,121.42219370
85,31.21267592,121.42476790
76,31.20870764,121.41252270
78,31.20705116,121.41327790
75,31.20585717,121.41413790
76,31.20384341,121.41491940
78,31.20222300,121.41530730
79,31.20078553,121.41586870
80,31.19836263,121.41664840
70,31.20733099,121.41431490
70,31.20377363,121.42560500
70,31.21031559,121.42473110
75,31.21053680,121.41915820
75,31.20992336,121.41587570
75,31.20135464,121.42108020
73,31.20327466,121.41792590
73,31.20535445,121.42571140
73,31.20755652,121.41904420
73,31.20603951,121.41865940
73,31.19916883,121.41751170
70,31.20692583,121.41584440
65,31.20536359,121.42090730
65,31.20467727,121.42298370
65,31.20928745,121.41928780
65,31.20817751,121.42483680
65,31.20658815,121.42490990
65,31.20245531,121.41950600
65,31.20355387,121.41647510
65,31.20495047,121.41826830
60,31.20866382,121.41666300
60,31.20599395,121.42272500
60,31.20664579,121.42081410
60,31.20483030,121.42761830
55,31.20655060,121.42658460
55,31.20826948,121.42685840
55,31.21024016,121.42669840
55,31.20050994,121.41802170
55,31.20873618,121.42304080
55,31.20874951,121.42115030
55,31.20723971,121.42189330
55,31.21178459,121.42661910
70,31.20280194,121.42531480
65,31.21064419,121.42074610
75,31.21145921,121.42281190
75,31.21312706,121.42637450
75,31.21412809,121.42710460
85,31.21446309,121.42804270
85,31.21482739,121.42886780
86,31.21604897,121.42837300
58,31.20555752,121.41662780
58,31.20459094,121.41600870
57,31.20317682,121.42002840
55,31.20393113,121.42058700
77,31.20257834,121.42148940
58,31.20395911,121.42205790
55,31.20995937,121.42179150
55,31.20736769,121.42299490
55,31.20827702,121.42253250
58,31.20667768,121.42409280
55,31.21070929,121.42571960
55,31.20363496,121.42322620
55,31.20286174,121.42295210
55,31.20583680,121.41545340
55,31.20991694,121.41778840
55,31.21012021,121.42320580
